round,duration_s,peak_rss_mb,notes
1,1.4819,583.04,acc=0.8768 loss=0.4298
2,0.8337,584.79,acc=0.8935 loss=0.3739
3,0.8086,585.67,acc=0.9055 loss=0.3281
4,0.8399,587.17,acc=0.9163 loss=0.2858
5,0.8291,587.92,acc=0.9213 loss=0.2672
6,0.8256,587.92,acc=0.9266 loss=0.2524
7,0.7865,587.92,acc=0.9292 loss=0.2391
8,0.8075,587.92,acc=0.934 loss=0.2203
9,0.843,587.92,acc=0.9385 loss=0.2086
10,0.8475,587.92,acc=0.9452 loss=0.1961
11,0.8348,587.92,acc=0.9447 loss=0.1905
12,0.8242,587.92,acc=0.949 loss=0.1817
13,0.8118,588.04,acc=0.9511 loss=0.1696
14,0.7999,588.04,acc=0.9536 loss=0.1631
15,0.8153,588.04,acc=0.951 loss=0.1666
16,0.8589,588.04,acc=0.9565 loss=0.1531
17,0.791,588.04,acc=0.9556 loss=0.1562
18,0.8526,588.04,acc=0.9591 loss=0.148
19,0.8328,588.17,acc=0.9608 loss=0.1404
20,0.8492,588.17,acc=0.9622 loss=0.1389
21,0.8798,588.54,acc=0.9625 loss=0.1298
22,0.8547,588.54,acc=0.9637 loss=0.1291
23,0.8557,588.54,acc=0.9647 loss=0.1239
24,0.8087,588.54,acc=0.9658 loss=0.1214
25,0.8399,588.54,acc=0.9622 loss=0.1278
26,0.8521,588.54,acc=0.9674 loss=0.1121
27,0.8486,588.54,acc=0.9668 loss=0.1145
28,0.8476,588.67,acc=0.9645 loss=0.1213
29,0.8075,588.79,acc=0.9664 loss=0.1186
30,0.8227,588.79,acc=0.969 loss=0.1076
31,0.8343,588.79,acc=0.9653 loss=0.1158
32,0.851,588.79,acc=0.9713 loss=0.1053
33,0.8356,588.79,acc=0.9691 loss=0.1083
34,0.7975,588.79,acc=0.9677 loss=0.1077
35,0.8392,588.79,acc=0.9706 loss=0.0982
36,0.8149,588.79,acc=0.9711 loss=0.0968
37,0.8432,588.79,acc=0.9724 loss=0.0959
38,0.8387,588.79,acc=0.9712 loss=0.094
39,0.854,588.79,acc=0.971 loss=0.0984
40,0.8304,588.79,acc=0.9724 loss=0.0943
41,0.8375,588.79,acc=0.9709 loss=0.0966
42,0.8346,588.79,acc=0.9742 loss=0.0879
43,0.8577,588.79,acc=0.9722 loss=0.096
44,0.8221,588.79,acc=0.9745 loss=0.0879
45,0.825,588.79,acc=0.973 loss=0.0912
46,0.8422,588.79,acc=0.9712 loss=0.0989
47,0.8323,588.79,acc=0.9736 loss=0.0897
48,0.8676,588.79,acc=0.9735 loss=0.0924
49,0.845,588.79,acc=0.9736 loss=0.0883
50,0.8351,588.79,acc=0.9756 loss=0.0856
51,0.8341,588.79,acc=0.9743 loss=0.0859
52,0.8198,588.92,acc=0.9721 loss=0.0916
53,0.8627,589.04,acc=0.9749 loss=0.0852
54,0.8534,589.04,acc=0.9765 loss=0.0834
55,0.8514,589.04,acc=0.9741 loss=0.085
56,0.8441,589.04,acc=0.9744 loss=0.0885
57,0.8258,589.04,acc=0.9748 loss=0.0855
58,0.8129,589.04,acc=0.9739 loss=0.0877
59,0.8246,589.04,acc=0.9764 loss=0.0817
60,0.8421,589.04,acc=0.9754 loss=0.0815
61,0.8307,589.04,acc=0.9757 loss=0.0847
62,0.8192,589.04,acc=0.9764 loss=0.0812
63,0.84,589.04,acc=0.9771 loss=0.08
64,0.8208,589.04,acc=0.9758 loss=0.0808
65,0.8073,589.04,acc=0.9767 loss=0.0766
66,0.8266,589.04,acc=0.9755 loss=0.0817
67,0.8261,589.04,acc=0.9768 loss=0.0789
68,0.8169,589.04,acc=0.9778 loss=0.0776
69,0.8388,589.04,acc=0.9771 loss=0.079
70,0.8286,589.04,acc=0.9777 loss=0.0757
71,0.8082,589.04,acc=0.977 loss=0.0769
72,0.8394,589.04,acc=0.9778 loss=0.0735
73,0.7994,589.04,acc=0.9773 loss=0.0783
74,0.8313,589.04,acc=0.9761 loss=0.078
75,0.8241,589.04,acc=0.9764 loss=0.0784
76,0.8374,589.04,acc=0.9765 loss=0.0807
77,0.8544,589.04,acc=0.9774 loss=0.0755
78,0.8142,589.04,acc=0.974 loss=0.0834
79,0.8398,589.04,acc=0.9767 loss=0.0824
80,0.8238,589.04,acc=0.9771 loss=0.0777
81,0.7957,589.04,acc=0.9779 loss=0.0741
82,0.8237,589.04,acc=0.9776 loss=0.076
83,0.8469,589.04,acc=0.9786 loss=0.0732
84,0.8166,589.04,acc=0.9768 loss=0.0778
85,0.8382,589.04,acc=0.9786 loss=0.0787
86,0.8348,589.04,acc=0.9763 loss=0.0789
87,0.8141,589.04,acc=0.9774 loss=0.0759
88,0.8419,589.04,acc=0.9764 loss=0.0779
89,0.8205,589.04,acc=0.9787 loss=0.0736
90,0.8088,589.04,acc=0.9759 loss=0.0801
91,0.8336,589.04,acc=0.9791 loss=0.0718
92,0.8136,589.04,acc=0.9773 loss=0.0737
93,0.8344,589.04,acc=0.9781 loss=0.0723
94,0.8249,589.04,acc=0.9787 loss=0.0728
95,0.8408,589.04,acc=0.9788 loss=0.0735
96,0.8316,589.04,acc=0.9786 loss=0.0726
97,0.8133,589.04,acc=0.9782 loss=0.0717
98,0.8443,589.04,acc=0.9788 loss=0.0722
99,0.858,589.04,acc=0.9786 loss=0.0739
100,0.8149,589.04,acc=0.9785 loss=0.0746
