round,duration_s,clients_selected,agg_time_s,start_ts,end_ts
1,0.0069,10,0.0069,1762227197,1762227197
2,0.0053,10,0.0053,1762227202,1762227202
3,0.0051,10,0.0051,1762227208,1762227208
4,0.0046,10,0.0046,1762227213,1762227213
5,0.0053,10,0.0053,1762227218,1762227218
6,0.0055,10,0.0055,1762227224,1762227224
7,0.0054,10,0.0054,1762227229,1762227229
8,0.004,10,0.004,1762227234,1762227234
9,0.0056,10,0.0056,1762227240,1762227240
10,0.005,10,0.005,1762227245,1762227245
11,0.0047,10,0.0047,1762227251,1762227251
12,0.0049,10,0.0049,1762227256,1762227256
13,0.0058,10,0.0058,1762227261,1762227261
14,0.0051,10,0.0051,1762227267,1762227267
15,0.0046,10,0.0046,1762227272,1762227272
16,0.005,10,0.005,1762227277,1762227277
17,0.0053,10,0.0053,1762227283,1762227283
18,0.0053,10,0.0053,1762227288,1762227288
19,0.0053,10,0.0053,1762227293,1762227293
20,0.0054,10,0.0054,1762227299,1762227299
21,0.005,10,0.005,1762227304,1762227304
22,0.0054,10,0.0054,1762227310,1762227310
23,0.0047,10,0.0047,1762227315,1762227315
24,0.006,10,0.0059,1762227320,1762227320
25,0.0051,10,0.0051,1762227326,1762227326
26,0.0051,10,0.0051,1762227331,1762227331
27,0.0049,10,0.0049,1762227336,1762227336
28,0.0046,10,0.0046,1762227342,1762227342
29,0.0054,10,0.0054,1762227347,1762227347
30,0.0053,10,0.0053,1762227353,1762227353
31,0.0048,10,0.0048,1762227358,1762227358
32,0.004,10,0.004,1762227363,1762227363
33,0.0048,10,0.0048,1762227369,1762227369
34,0.0058,10,0.0058,1762227374,1762227374
35,0.0049,10,0.0049,1762227379,1762227379
36,0.0051,10,0.0051,1762227385,1762227385
37,0.0055,10,0.0055,1762227390,1762227390
38,0.0056,10,0.0056,1762227396,1762227396
39,0.005,10,0.005,1762227401,1762227401
40,0.0047,10,0.0047,1762227406,1762227406
41,0.0059,10,0.0059,1762227412,1762227412
42,0.0048,10,0.0048,1762227417,1762227417
43,0.0045,10,0.0045,1762227422,1762227422
44,0.0051,10,0.0051,1762227428,1762227428
45,0.0051,10,0.0051,1762227433,1762227433
46,0.0053,10,0.0053,1762227438,1762227438
47,0.0044,10,0.0044,1762227444,1762227444
48,0.0045,10,0.0045,1762227449,1762227449
49,0.02,10,0.02,1762227455,1762227455
50,0.0051,10,0.0051,1762227460,1762227460
51,0.0049,10,0.0049,1762227465,1762227465
52,0.0056,10,0.0056,1762227471,1762227471
53,0.0062,10,0.0062,1762227476,1762227476
54,0.0051,10,0.0051,1762227481,1762227481
55,0.0073,10,0.0073,1762227487,1762227487
56,0.0048,10,0.0048,1762227492,1762227492
57,0.0054,10,0.0054,1762227498,1762227498
58,0.0052,10,0.0052,1762227503,1762227503
59,0.0054,10,0.0054,1762227508,1762227508
60,0.0049,10,0.0049,1762227514,1762227514
61,0.0048,10,0.0048,1762227519,1762227519
62,0.005,10,0.005,1762227524,1762227524
63,0.0042,10,0.0042,1762227530,1762227530
64,0.0045,10,0.0045,1762227535,1762227535
65,0.0049,10,0.0049,1762227540,1762227540
66,0.0054,10,0.0054,1762227546,1762227546
67,0.0049,10,0.0048,1762227551,1762227551
68,0.0052,10,0.0052,1762227557,1762227557
69,0.005,10,0.005,1762227562,1762227562
70,0.0049,10,0.0049,1762227567,1762227567
71,0.0042,10,0.0041,1762227573,1762227573
72,0.005,10,0.005,1762227578,1762227578
73,0.0049,10,0.0049,1762227583,1762227583
74,0.0049,10,0.0049,1762227589,1762227589
75,0.0054,10,0.0054,1762227594,1762227594
76,0.0046,10,0.0046,1762227599,1762227599
77,0.0056,10,0.0056,1762227605,1762227605
78,0.0054,10,0.0054,1762227610,1762227610
79,0.0048,10,0.0048,1762227616,1762227616
80,0.0072,10,0.0072,1762227621,1762227621
81,0.0053,10,0.0053,1762227626,1762227626
82,0.0052,10,0.0052,1762227632,1762227632
83,0.0044,10,0.0044,1762227637,1762227637
84,0.0044,10,0.0044,1762227643,1762227643
85,0.0048,10,0.0048,1762227648,1762227648
86,0.0058,10,0.0058,1762227653,1762227653
87,0.0045,10,0.0045,1762227659,1762227659
88,0.0048,10,0.0048,1762227664,1762227664
89,0.0059,10,0.0059,1762227669,1762227669
90,0.005,10,0.005,1762227675,1762227675
91,0.005,10,0.005,1762227680,1762227680
92,0.0048,10,0.0048,1762227685,1762227685
93,0.005,10,0.005,1762227691,1762227691
94,0.0056,10,0.0056,1762227696,1762227696
95,0.0052,10,0.0052,1762227702,1762227702
96,0.0049,10,0.0049,1762227707,1762227707
97,0.0064,10,0.0064,1762227712,1762227712
98,0.0053,10,0.0053,1762227718,1762227718
99,0.0042,10,0.0042,1762227723,1762227723
100,0.005,10,0.005,1762227728,1762227728
