round,duration_s,peak_rss_mb,notes
1,1.1445,534.69,acc=0.8808 loss=0.4409
2,0.7474,537.44,acc=0.8843 loss=0.3985
3,0.7503,538.94,acc=0.9088 loss=0.3214
4,0.7579,538.94,acc=0.9137 loss=0.2955
5,0.7524,539.06,acc=0.9249 loss=0.269
6,0.7585,539.31,acc=0.9304 loss=0.2486
7,0.7536,539.44,acc=0.9328 loss=0.2384
8,0.7371,539.44,acc=0.9328 loss=0.2307
9,0.7419,539.69,acc=0.9385 loss=0.2153
10,0.7462,539.69,acc=0.9444 loss=0.1938
11,0.7413,540.06,acc=0.9437 loss=0.1917
12,0.7436,540.06,acc=0.9426 loss=0.2013
13,0.7391,540.06,acc=0.9505 loss=0.1768
14,0.9541,536.56,acc=0.9517 loss=0.1691
15,0.7551,536.56,acc=0.9544 loss=0.1624
16,0.746,536.56,acc=0.955 loss=0.1573
17,0.7562,536.56,acc=0.9526 loss=0.1587
18,0.7422,536.56,acc=0.9557 loss=0.1506
19,0.7433,536.56,acc=0.96 loss=0.1413
20,0.7378,536.56,acc=0.9567 loss=0.151
21,0.7506,536.56,acc=0.9611 loss=0.1368
22,0.7567,536.56,acc=0.962 loss=0.1328
23,0.738,536.56,acc=0.9627 loss=0.1277
24,0.7419,536.56,acc=0.9651 loss=0.1217
25,0.7531,536.56,acc=0.9638 loss=0.1245
26,0.7701,536.56,acc=0.9667 loss=0.1196
27,0.7502,536.56,acc=0.963 loss=0.1208
28,0.7477,536.56,acc=0.9657 loss=0.1178
29,0.755,536.69,acc=0.9693 loss=0.1082
30,0.7518,536.69,acc=0.9616 loss=0.1284
31,0.7466,536.69,acc=0.9702 loss=0.1068
32,0.7556,536.69,acc=0.9699 loss=0.1069
33,0.7557,536.69,acc=0.9659 loss=0.1166
34,0.7549,536.69,acc=0.9699 loss=0.1046
35,0.74,536.69,acc=0.9693 loss=0.1059
36,0.7602,536.81,acc=0.9717 loss=0.0998
37,0.7577,536.81,acc=0.9707 loss=0.0982
38,0.7505,536.81,acc=0.9707 loss=0.1007
39,0.7442,536.81,acc=0.9691 loss=0.1038
40,0.7515,536.81,acc=0.9724 loss=0.0939
41,0.7513,536.81,acc=0.9729 loss=0.0925
42,0.7497,536.81,acc=0.9727 loss=0.0957
43,0.7485,536.81,acc=0.9724 loss=0.0946
44,0.7498,536.81,acc=0.9734 loss=0.0916
45,0.7481,536.81,acc=0.9734 loss=0.0919
46,0.7447,536.81,acc=0.9745 loss=0.087
47,0.7477,536.81,acc=0.9752 loss=0.0872
48,0.7564,536.81,acc=0.9742 loss=0.0901
49,0.7469,536.81,acc=0.9743 loss=0.0874
50,0.763,536.81,acc=0.9741 loss=0.0872
51,0.7459,536.81,acc=0.976 loss=0.0849
52,0.7463,536.81,acc=0.9734 loss=0.0883
53,0.772,536.81,acc=0.9745 loss=0.084
54,0.7556,536.81,acc=0.9755 loss=0.0808
55,0.7503,536.81,acc=0.9752 loss=0.0833
56,0.7515,536.81,acc=0.973 loss=0.0893
57,0.7492,537.06,acc=0.9747 loss=0.0842
58,0.7425,537.06,acc=0.9736 loss=0.0908
59,0.7384,537.06,acc=0.9758 loss=0.0829
60,0.7512,537.06,acc=0.9739 loss=0.0904
61,0.7593,537.06,acc=0.9757 loss=0.0826
62,0.7379,537.06,acc=0.9777 loss=0.0787
63,0.7512,537.06,acc=0.9763 loss=0.0806
64,0.7444,537.06,acc=0.9753 loss=0.0828
65,0.7464,537.06,acc=0.9765 loss=0.081
66,0.739,537.06,acc=0.9762 loss=0.0819
67,0.7732,537.06,acc=0.9768 loss=0.0786
68,0.7444,537.06,acc=0.9755 loss=0.0809
69,0.7457,537.06,acc=0.9783 loss=0.0744
70,0.7366,537.06,acc=0.9758 loss=0.0825
71,0.7492,537.06,acc=0.9754 loss=0.0836
72,0.7579,537.06,acc=0.9763 loss=0.0797
73,0.7627,537.06,acc=0.9765 loss=0.0807
74,0.742,537.19,acc=0.9738 loss=0.0846
75,0.7526,537.19,acc=0.975 loss=0.081
76,0.7603,537.19,acc=0.9761 loss=0.0834
77,0.7446,537.19,acc=0.975 loss=0.0804
78,0.7617,537.19,acc=0.9775 loss=0.078
79,0.7417,537.19,acc=0.9776 loss=0.0754
80,0.7544,537.19,acc=0.9773 loss=0.0747
81,0.7478,537.19,acc=0.9761 loss=0.0786
82,0.7475,537.19,acc=0.9773 loss=0.0766
83,0.7381,537.19,acc=0.9787 loss=0.0741
84,0.7341,537.19,acc=0.9785 loss=0.0723
85,0.7468,537.19,acc=0.9772 loss=0.0749
86,0.7536,537.19,acc=0.9778 loss=0.0734
87,0.7474,537.19,acc=0.9768 loss=0.0742
88,0.7437,537.19,acc=0.9763 loss=0.0787
89,0.747,537.19,acc=0.978 loss=0.0738
90,0.7532,537.19,acc=0.9763 loss=0.0795
91,0.7438,537.19,acc=0.9773 loss=0.0748
92,0.747,537.19,acc=0.9772 loss=0.0755
93,0.7518,537.19,acc=0.9768 loss=0.0737
94,0.7446,537.19,acc=0.9782 loss=0.0743
95,0.7522,537.19,acc=0.9765 loss=0.0784
96,0.7605,537.19,acc=0.9793 loss=0.0728
97,0.742,537.19,acc=0.9768 loss=0.0783
98,0.7465,537.19,acc=0.9774 loss=0.0727
99,0.7474,537.19,acc=0.9787 loss=0.0727
100,0.7576,537.19,acc=0.977 loss=0.0747
