round,duration_s,clients_selected,agg_time_s,start_ts,end_ts
1,0.0082,10,0.0082,1762377951,1762377951
2,0.0051,10,0.005,1762377956,1762377957
3,0.0051,10,0.0051,1762377962,1762377962
4,0.0047,10,0.0047,1762377967,1762377967
5,0.005,10,0.005,1762377972,1762377972
6,0.0054,10,0.0054,1762377977,1762377977
7,0.0053,10,0.0053,1762377982,1762377982
8,0.0054,10,0.0054,1762377988,1762377988
9,0.0049,10,0.0049,1762377993,1762377993
10,0.0054,10,0.0054,1762377998,1762377998
11,0.0048,10,0.0048,1762378003,1762378003
12,0.0057,10,0.0057,1762378009,1762378009
13,0.0052,10,0.0052,1762378014,1762378014
14,0.0061,10,0.0061,1762378019,1762378019
15,0.0053,10,0.0053,1762378024,1762378024
16,0.0058,10,0.0058,1762378030,1762378030
17,0.0051,10,0.0051,1762378035,1762378035
18,0.0056,10,0.0056,1762378040,1762378040
19,0.0052,10,0.0052,1762378045,1762378045
20,0.0057,10,0.0057,1762378050,1762378050
21,0.0047,10,0.0047,1762378055,1762378055
22,0.0056,10,0.0056,1762378061,1762378061
23,0.005,10,0.005,1762378066,1762378066
24,0.0057,10,0.0057,1762378071,1762378071
25,0.0054,10,0.0054,1762378076,1762378076
26,0.0055,10,0.0055,1762378081,1762378081
27,0.0056,10,0.0056,1762378087,1762378087
28,0.0063,10,0.0063,1762378092,1762378092
29,0.0047,10,0.0047,1762378097,1762378097
30,0.0055,10,0.0055,1762378102,1762378102
31,0.0054,10,0.0054,1762378107,1762378107
32,0.0062,10,0.0062,1762378112,1762378112
33,0.0052,10,0.0052,1762378118,1762378118
34,0.0058,10,0.0058,1762378123,1762378123
35,0.0053,10,0.0053,1762378128,1762378128
36,0.0048,10,0.0048,1762378133,1762378133
37,0.0054,10,0.0054,1762378138,1762378138
38,0.0051,10,0.0051,1762378143,1762378143
39,0.0053,10,0.0053,1762378149,1762378149
40,0.0047,10,0.0047,1762378154,1762378154
41,0.0057,10,0.0057,1762378159,1762378159
42,0.0057,10,0.0057,1762378164,1762378164
43,0.0049,10,0.0049,1762378169,1762378169
44,0.006,10,0.006,1762378175,1762378175
45,0.005,10,0.005,1762378180,1762378180
46,0.0056,10,0.0056,1762378185,1762378185
47,0.005,10,0.005,1762378190,1762378190
48,0.0062,10,0.0062,1762378195,1762378195
49,0.007,10,0.007,1762378200,1762378200
50,0.0054,10,0.0054,1762378206,1762378206
51,0.0049,10,0.0049,1762378211,1762378211
52,0.0058,10,0.0058,1762378216,1762378216
53,0.0049,10,0.0049,1762378221,1762378221
54,0.0063,10,0.0063,1762378227,1762378227
55,0.0062,10,0.0062,1762378232,1762378232
56,0.0049,10,0.0049,1762378237,1762378237
57,0.0051,10,0.0051,1762378242,1762378242
58,0.0054,10,0.0054,1762378247,1762378247
59,0.0054,10,0.0054,1762378252,1762378252
60,0.0054,10,0.0054,1762378258,1762378258
61,0.0052,10,0.0052,1762378263,1762378263
62,0.0046,10,0.0046,1762378268,1762378268
63,0.0047,10,0.0047,1762378273,1762378273
64,0.0065,10,0.0065,1762378278,1762378278
65,0.0057,10,0.0057,1762378284,1762378284
66,0.0052,10,0.0052,1762378289,1762378289
67,0.0054,10,0.0054,1762378294,1762378294
68,0.0048,10,0.0048,1762378299,1762378299
69,0.0052,10,0.0052,1762378304,1762378304
70,0.0049,10,0.0049,1762378309,1762378309
71,0.0054,10,0.0054,1762378315,1762378315
72,0.0055,10,0.0055,1762378320,1762378320
73,0.006,10,0.006,1762378325,1762378325
74,0.0056,10,0.0056,1762378330,1762378330
75,0.0056,10,0.0056,1762378335,1762378335
76,0.0053,10,0.0053,1762378341,1762378341
77,0.005,10,0.005,1762378346,1762378346
78,0.0058,10,0.0058,1762378351,1762378351
79,0.0062,10,0.0062,1762378356,1762378356
80,0.0049,10,0.0049,1762378361,1762378361
81,0.0047,10,0.0047,1762378366,1762378366
82,0.0065,10,0.0065,1762378372,1762378372
83,0.0066,10,0.0066,1762378377,1762378377
84,0.0055,10,0.0055,1762378382,1762378382
85,0.0052,10,0.0052,1762378387,1762378387
86,0.0055,10,0.0055,1762378392,1762378392
87,0.0051,10,0.0051,1762378397,1762378397
88,0.0052,10,0.0052,1762378403,1762378403
89,0.0055,10,0.0055,1762378408,1762378408
90,0.0064,10,0.0064,1762378413,1762378413
91,0.0056,10,0.0056,1762378418,1762378418
92,0.0058,10,0.0058,1762378423,1762378423
93,0.0049,10,0.0049,1762378428,1762378428
94,0.0054,10,0.0054,1762378434,1762378434
95,0.0059,10,0.0059,1762378439,1762378439
96,0.0057,10,0.0057,1762378444,1762378444
97,0.0051,10,0.0051,1762378449,1762378449
98,0.006,10,0.006,1762378454,1762378454
99,0.0053,10,0.0053,1762378460,1762378460
100,0.0064,10,0.0064,1762378465,1762378465
